System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_1nodes_64cores_1threads_8NCORE_11999303_202512261814.OUTCAR,11999303,2025.12.26 18:14:52,1,64,64,1,2530728,1,8,8,5184,776.7737,5137.588
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_16nodes_256cores_1threads_16NCORE_12008147_202512270856.OUTCAR,12008147,2025.12.27 08:56:59,16,256,256,1,4014788,1,16,16,5184,75.84,701.899
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_16nodes_512cores_1threads_16NCORE_12008150_202512270938.OUTCAR,12008150,2025.12.27 09:38:28,16,512,512,1,3752376,1,16,32,5184,50.7614,531.901
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_16nodes_512cores_1threads_8NCORE_12008149_202512270938.OUTCAR,12008149,2025.12.27 09:38:25,16,512,512,1,3786049,1,8,64,5184,55.6126,562.447
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_64nodes_8192cores_1threads_16NCORE_12040218_202512301003.OUTCAR,12040218,2025.12.30 10:03:36,64,8192,8192,1,85713303,1,16,512,5632,19.7509,2750.412
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_8nodes_128cores_1threads_16NCORE_12008137_202512270948.OUTCAR,12008137,2025.12.27 09:49:17,8,128,128,1,3652944,1,16,8,5184,154.4917,1261.254
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_1nodes_128cores_1threads_8NCORE_12008115_202512270809.OUTCAR,12008115,2025.12.27 08:09:44,1,128,128,1,2895651,1,8,16,5184,771.0905,5064.194
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_1nodes_64cores_1threads_8NCORE_12008112_202512270809.OUTCAR,12008112,2025.12.27 08:09:46,1,64,64,1,2783375,1,8,8,5184,757.7162,5026.875
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_64nodes_4096cores_1threads_4NCORE_12040212_202512300943.OUTCAR,12040212,2025.12.30 09:44:06,64,4096,4096,1,26266268,1,4,1024,6144,23.6885,966.255
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_16nodes_1024cores_1threads_16NCORE_12008153_202512271014.OUTCAR,12008153,2025.12.27 10:15:13,16,1024,1024,1,4541168,1,16,64,5184,48.7795,592.259
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_64nodes_2048cores_1threads_16NCORE_12008170_202512270913.OUTCAR,12008170,2025.12.27 09:14:07,64,2048,2048,1,10740624,1,16,128,5248,15.0915,449.071
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_4nodes_128cores_1threads_8NCORE_12008129_202512270935.OUTCAR,12008129,2025.12.27 09:35:49,4,128,128,1,3033346,1,8,16,5184,222.6446,1693.594
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_2nodes_128cores_1threads_4NCORE_12008121_202512270809.OUTCAR,12008121,2025.12.27 08:09:56,2,128,128,1,2799270,1,4,32,5184,392.7013,2711.515
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_16nodes_512cores_1threads_4NCORE_12008148_202512270858.OUTCAR,12008148,2025.12.27 08:58:34,16,512,512,1,4221231,1,4,128,5248,58.47,604.903
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_4nodes_512cores_1threads_16NCORE_12008136_202512270947.OUTCAR,12008136,2025.12.27 09:48:05,4,512,512,1,3273638,1,16,32,5184,195.757,1517.275
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_32nodes_512cores_1threads_16NCORE_12008157_202512270817.OUTCAR,12008157,2025.12.27 08:17:45,32,512,512,1,5753042,1,16,32,5184,39.4681,471.382
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_2nodes_256cores_1threads_8NCORE_12008125_202512270920.OUTCAR,12008125,2025.12.27 09:20:25,2,256,256,1,2864841,1,8,32,5184,397.5685,2728.993
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_32nodes_1024cores_1threads_16NCORE_12008160_202512270929.OUTCAR,12008160,2025.12.27 09:30:23,32,1024,1024,1,5913407,1,16,64,5184,26.3925,440.887
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_1nodes_64cores_1threads_16NCORE_12008113_202512270809.OUTCAR,12008113,2025.12.27 08:09:52,1,64,64,1,2701501,1,16,4,5184,731.8499,4821.643
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_8nodes_256cores_1threads_8NCORE_12008139_202512270953.OUTCAR,12008139,2025.12.27 09:53:53,8,256,256,1,3074209,1,8,32,5184,109.7145,909.033
ARCHER2,6.5.1-GCC-MKL,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-MKL/TiO2MCC_4nodes_64cores_1threads_16NCORE_12008127_202512270934.OUTCAR,12008127,2025.12.27 09:34:54,4,64,64,1,3538321,1,16,4,5184,303.6223,2257.784
