System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_2nodes_256cores_1threads_16NCORE_4KPAR_12018452_202512281715.OUTCAR,12018452,2025.12.28 17:15:52,2,256,256,1,7586729,4,16,4,640,2807.0866,7469.834
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_2nodes_256cores_1threads_16NCORE_2KPAR_12018449_202512281640.OUTCAR,12018449,2025.12.28 16:40:34,2,256,256,1,4105042,2,16,8,640,1420.1747,3814.356
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_1nodes_64cores_1threads_8NCORE_8KPAR_12018439_202512281302.OUTCAR,12018439,2025.12.28 13:02:57,1,64,64,1,14729972,8,8,1,640,11018.7211,30582.479
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_2nodes_256cores_1threads_4NCORE_2KPAR_12018447_202512281510.OUTCAR,12018447,2025.12.28 15:11:18,2,256,256,1,3388578,2,4,32,640,1268.5165,3441.425
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_4nodes_512cores_1threads_8NCORE_4KPAR_12018457_202512281744.OUTCAR,12018457,2025.12.28 17:44:58,4,512,512,1,7351579,4,8,16,640,1417.489,3618.77
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_4nodes_512cores_1threads_8NCORE_2KPAR_12018454_202512281723.OUTCAR,12018454,2025.12.28 17:24:00,4,512,512,1,4381545,2,8,32,640,832.9323,2119.028
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_32nodes_4096cores_1threads_4NCORE_4KPAR_12018474_202512281602.OUTCAR,12018474,2025.12.28 16:03:34,32,4096,4096,1,15667889,4,4,256,768,260.1827,971.778
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_1nodes_128cores_1threads_8NCORE_2KPAR_12018442_202512281339.OUTCAR,12018442,2025.12.28 13:39:48,1,128,128,1,3290501,2,8,8,640,2477.7476,6553.79
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_1nodes_32cores_1threads_4NCORE_2KPAR_12018420_202512281029.OUTCAR,12018420,2025.12.28 10:29:58,1,32,32,1,4840320,2,4,4,640,3978.0903,11332.535
ARCHER2,6.5.1-GCC-OpenBLAS,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-OpenBLAS/CdTe_4nodes_512cores_1threads_16NCORE_4KPAR_12018458_202512281750.OUTCAR,12018458,2025.12.28 17:51:27,4,512,512,1,7908131,4,16,8,640,1424.5657,3836.073
