System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_4nodes_288cores_1threads_8NCORE_23417_202512271004.OUTCAR,23417,2025.12.27 10:04:48,4,288,288,1,1816266,1,8,36,5184,71.5454,525.239
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_64nodes_4608cores_1threads_8NCORE_22047_202512220237.OUTCAR,22047,2025.12.22 02:37:22,64,4608,4608,1,8742515,1,8,576,5184,10.9304,175.45
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_1nodes_72cores_1threads_16NCORE_21988_202512220109.OUTCAR,21988,2025.12.22 01:09:20,1,72,72,1,1628870,1,1,72,5184,249.4841,1691.324
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_32nodes_9216cores_1threads_4NCORE_23452_202512271044.OUTCAR,23452,2025.12.27 10:45:08,32,9216,9216,1,12277110,1,4,2304,6912,19.4568,357.929
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_32nodes_1152cores_1threads_16NCORE_23445_202512271038.OUTCAR,23445,2025.12.27 10:38:47,32,1152,1152,1,3613786,1,16,72,5184,14.2943,178.246
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_1nodes_288cores_1threads_8NCORE_21993_202512220113.OUTCAR,21993,2025.12.22 01:13:22,1,288,288,1,1977240,1,8,36,5184,245.3917,1623.772
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_2nodes_144cores_1threads_8NCORE_21997_202512220140.OUTCAR,21997,2025.12.22 01:40:27,2,144,144,1,1993829,1,8,18,5184,153.9257,1108.94
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_4nodes_1152cores_1threads_16NCORE_23424_202512271010.OUTCAR,23424,2025.12.27 10:11:17,4,1152,1152,1,2362973,1,16,72,5184,62.8911,537.233
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_2nodes_144cores_1threads_4NCORE_23406_202512270941.OUTCAR,23406,2025.12.27 09:41:46,2,144,144,1,2002930,1,4,36,5184,149.4871,1045.028
Cirrus,6.5.1-Intel-MKL,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-Intel-MKL/TiO2MCC_64nodes_9216cores_1threads_16NCORE_22051_202512220245.OUTCAR,22051,2025.12.22 02:45:40,64,9216,9216,1,11018053,1,16,576,5184,7.7835,171.016
